Statistical profiling result from sinCLog.log, (8512 ticks, 16 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.1%  LazyCompile: *<anonymous> /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:130:39
      1    0.0%    0.1%  Function: ^writeHead node:_http_server:267:19
      1    0.0%    0.1%  Function: ^writeCommand /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cmap/message_stream.js:35:17
      1    0.0%    0.1%  Function: ^withConnection /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cmap/connection_pool.js:249:19
      1    0.0%    0.1%  Function: ^vary /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/vary/index.js:133:15
      1    0.0%    0.1%  Function: ^updateSessionFromResponse /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/sessions.js:705:35
      1    0.0%    0.1%  Function: ^unshift /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/denque/index.js:104:44
      1    0.0%    0.1%  Function: ^trySelf node:internal/modules/cjs/loader:441:17
      1    0.0%    0.1%  Function: ^tryPackage node:internal/modules/cjs/loader:338:20
      1    0.0%    0.1%  Function: ^toString node:buffer:782:46
      1    0.0%    0.1%  Function: ^toPathIfFileURL node:internal/url:1548:25
      1    0.0%    0.1%  Function: ^toNamespacedPath node:path:1266:19
      1    0.0%    0.1%  Function: ^toBin /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cmap/commands.js:496:10
      1    0.0%    0.1%  Function: ^supportsOpMsg /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cmap/connection.js:413:23
      1    0.0%    0.1%  Function: ^stripFlags /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:52:20
      1    0.0%    0.1%  Function: ^stringify /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/safe-stable-stringify/stable.js:538:20
      1    0.0%    0.1%  Function: ^stat node:fs:1452:14
      1    0.0%    0.1%  Function: ^setHeader node:_http_outgoing:574:57
      1    0.0%    0.1%  Function: ^session /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express-session/index.js:179:26
      1    0.0%    0.1%  Function: ^serialize /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express-session/node_modules/cookie/index.js:101:19
      1    0.0%    0.1%  Function: ^serialize /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/bson/lib/bson.js:111:19
      1    0.0%    0.1%  Function: ^resume node:internal/streams/readable:1001:16
      1    0.0%    0.1%  Function: ^resolveOptions /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/utils.js:824:24
      1    0.0%    0.1%  Function: ^resolve /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express/lib/view.js:146:42
