Statistical profiling result from conCLog.log, (17495 ticks, 18 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3    0.0%    0.1%  Function: ^WritableState.onwrite /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/readable-stream/lib/_stream_writable.js:159:27
      3    0.0%    0.1%  Function: ^<anonymous> /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express-session/index.js:485:38
      2    0.0%    0.1%  RegExp: ^\[.*\]$
      2    0.0%    0.1%  RegExp: ^\.|\.$
      2    0.0%    0.1%  RegExp: ^[a-zA-Z_][a-zA-Z_0-9]*$
      2    0.0%    0.1%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      2    0.0%    0.1%  RegExp: ^(?:null(?=([~}\s)])))
      2    0.0%    0.1%  RegExp: ^(?:as\s+\|)
      2    0.0%    0.1%  RegExp: ^(?:\{\{\{\{)
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\/)
      2    0.0%    0.1%  RegExp: ^(?:@)
      2    0.0%    0.1%  RegExp: ^(?:=)
      2    0.0%    0.1%  LazyCompile: *write node:buffer:592:12
      2    0.0%    0.1%  LazyCompile: *toInteger node:buffer:190:19
      2    0.0%    0.1%  LazyCompile: *serializeNumber /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/bson/lib/parser/serializer.js:43:25
      2    0.0%    0.1%  LazyCompile: *send /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express/lib/response.js:107:25
      2    0.0%    0.1%  LazyCompile: *resolveBSONOptions /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/bson.js:52:28
      2    0.0%    0.1%  LazyCompile: *push /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:79:22
      2    0.0%    0.1%  LazyCompile: *popStack /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:960:30
      2    0.0%    0.1%  LazyCompile: *module.exports /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/utils-merge/index.js:16:36
      2    0.0%    0.1%  LazyCompile: *maybeReadMore_ node:internal/streams/readable:632:24
      2    0.0%    0.1%  LazyCompile: *maybePromise /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/utils.js:482:22
      2    0.0%    0.1%  LazyCompile: *logger node:internal/util/debuglog:96:18
      2    0.0%    0.1%  LazyCompile: *latencyWindowReducer /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/sdam/server_selection.js:123:30
      2    0.0%    0.1%  LazyCompile: *join node:path:1166:7
      2    0.0%    0.1%  LazyCompile: *internalNameLookup /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:66:50
      2    0.0%    0.1%  LazyCompile: *id /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:44:12
      2    0.0%    0.1%  LazyCompile: *hasAspect /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/operations/operation.js:37:14
      2    0.0%    0.1%  LazyCompile: *get node:internal/streams/duplex:100:8
      2    0.0%    0.1%  LazyCompile: *get node:internal/bootstrap/pre_execution:314:8
      2    0.0%    0.1%  LazyCompile: *get description /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/sdam/topology.js:172:20
      2    0.0%    0.1%  LazyCompile: *generateList /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:143:38
      2    0.0%    0.1%  LazyCompile: *fromStringFast node:buffer:412:24
      2    0.0%    0.1%  LazyCompile: *fastparse /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/parseurl/index.js:95:20
      2    0.0%    0.1%  LazyCompile: *dirname node:path:1275:10
      2    0.0%    0.1%  LazyCompile: *command /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cmap/connection.js:161:12
      2    0.0%    0.1%  LazyCompile: *clearIncoming node:_http_server:747:23
      2    0.0%    0.1%  LazyCompile: *castChunk /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:52:19
      2    0.0%    0.1%  LazyCompile: *basename node:path:1306:11
      2    0.0%    0.1%  LazyCompile: *anonymous /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:549:49
      2    0.0%    0.1%  LazyCompile: *adjustOffset node:buffer:1098:22
      2    0.0%    0.1%  LazyCompile: *Writable.write /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/readable-stream/lib/_stream_writable.js:288:37
      2    0.0%    0.1%  LazyCompile: *WhitespaceControl.Program /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/whitespace-control.js:19:48
      2    0.0%    0.1%  LazyCompile: *Transform._read /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/readable-stream/lib/_stream_transform.js:171:38
      2    0.0%    0.1%  LazyCompile: *Readable.read node:internal/streams/readable:402:35
      2    0.0%    0.1%  LazyCompile: *FastBuffer node:internal/buffer:958:14
      2    0.0%    0.1%  Function: ^writevGeneric node:internal/stream_base_commons:126:23
      2    0.0%    0.1%  Function: ^writeHead /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/on-headers/index.js:28:29
      2    0.0%    0.1%  Function: ^tryReadSync node:fs:429:21
      2    0.0%    0.1%  Function: ^stringToFlags node:internal/fs/utils:555:23
      2    0.0%    0.1%  Function: ^socketOnDrain node:_http_server:556:23
      2    0.0%    0.1%  Function: ^size /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/denque/index.js:94:38
      2    0.0%    0.1%  Function: ^setHeader node:_http_outgoing:574:57
      2    0.0%    0.1%  Function: ^serializeInto /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/bson/lib/parser/serializer.js:550:23
      2    0.0%    0.1%  Function: ^selectServer /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/sdam/topology.js:281:17
      2    0.0%    0.1%  Function: ^resOnFinish node:_http_server:786:21
      2    0.0%    0.1%  Function: ^render /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express/lib/application.js:531:29
      2    0.0%    0.1%  Function: ^readableAddChunk node:internal/streams/readable:242:26
      2    0.0%    0.1%  Function: ^readPreferenceServerSelector /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/sdam/server_selection.js:153:38
      2    0.0%    0.1%  Function: ^processTicksAndRejections node:internal/process/task_queues:68:35
      2    0.0%    0.1%  Function: ^processPromiseRejections node:internal/process/promises:203:34
      2    0.0%    0.1%  Function: ^prepareProgram /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:185:24
      2    0.0%    0.1%  Function: ^parse /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cmap/commands.js:577:10
      2    0.0%    0.1%  Function: ^openSync node:fs:576:18
      2    0.0%    0.1%  Function: ^nativeModuleRequire node:internal/bootstrap/loaders:332:29
      2    0.0%    0.1%  Function: ^makeFindCommand /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/operations/find.js:73:25
      2    0.0%    0.1%  Function: ^makeAbs /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/glob/common.js:199:18
      2    0.0%    0.1%  Function: ^listenerCount node:events:722:23
      2    0.0%    0.1%  Function: ^lex /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:525:30
